location,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Relative Humidity,Wind Speed,Wind Direction,Cloud Cover Total,Sunshine Duration
unit,°C,mm,%,km/h,°,%,min
level,2 m elevation corrected,sfc,2 m,10 m,10 m,sfc,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m],Basel Cloud Cover Total,Basel Sunshine Duration
20220109T0200,5.710245,1.2,90.858,26.368616,237.82878,100.0,0.0
20220109T0300,5.2002454,1.6,89.346664,23.710857,239.93143,100.0,0.0
20220109T0400,4.6002455,1.6,89.16169,22.73707,246.68228,98.0,0.0
20220109T0500,4.1602454,1.3,87.28555,23.510508,258.518,97.0,0.0
20220109T0600,4.1902456,0.5,84.75498,22.380884,258.87082,97.0,0.0
20220109T0700,4.2702456,0.0,84.27884,19.255793,249.1932,84.0,0.0
20220109T0800,4.0502453,0.0,85.28793,16.923828,240.70865,71.0,12.656566
20220109T0900,4.2702456,0.0,85.43835,14.84318,230.90614,46.0,32.121212
20220109T1000,4.420245,0.1,83.33408,13.830749,231.3402,71.0,16.969696
20220109T1100,4.4802456,0.2,83.28247,17.373497,235.98065,94.0,3.0303025
20220109T1200,4.5902452,0.2,83.95871,16.267857,245.1363,87.0,7.2727275
20220109T1300,4.650245,0.2,84.26861,15.937878,251.56506,79.0,12.121214
20220109T1400,4.5902452,0.2,83.477554,11.966953,248.83875,64.0,21.212122
20220109T1500,4.0702453,0.3,87.46362,10.948973,242.59244,67.0,19.393942
20220109T1600,3.7902455,0.3,89.981,7.8954163,226.84761,99.0,0.0
20220109T1700,3.2002454,0.3,92.883934,6.297428,210.96376,98.0,0.0
20220109T1800,2.7602453,0.3,93.99543,6.4096174,218.15723,94.0,0.0
20220109T1900,2.4902453,0.8,94.72601,6.1094027,225.0,84.0,0.0
20220109T2000,2.2102454,0.5,95.74022,4.3349743,228.36647,65.0,0.0
20220109T2100,1.9402454,0.4,95.93388,5.3517847,227.72632,67.0,0.0
20220109T2200,1.6502454,0.4,99.73735,4.510787,241.38954,67.0,0.0
20220109T2300,1.8102454,0.2,99.52536,5.315336,241.69925,35.0,0.0
20220110T0000,1.7802454,0.1,98.17019,5.3517847,222.27368,41.0,0.0
20220110T0100,1.9202454,0.0,95.86355,4.5536795,251.56506,69.0,0.0
20220110T0200,2.1002455,0.0,95.527306,3.4152596,288.43497,83.0,0.0
20220110T0300,1.5902454,0.0,96.89371,2.2768397,341.56506,92.0,0.0
20220110T0400,1.4902453,0.0,96.88931,2.4149535,26.565033,89.0,0.0
20220110T0500,1.5902454,0.0,96.61344,4.0249224,10.30484,94.0,0.0
20220110T0600,1.8602453,0.0,96.97553,4.452954,14.03624,87.0,0.0
20220110T0700,1.7602454,0.0,97.463066,3.9763298,5.194412,82.0,0.0
20220110T0800,1.7302454,0.0,97.32111,3.319036,347.4712,90.0,4.0954533
20220110T0900,2.2502456,0.0,94.23408,6.162207,353.29016,88.0,6.666666
20220110T1000,2.8002453,0.0,92.52085,6.8399997,360.0,66.0,19.999998
20220110T1100,3.2602453,0.0,91.8932,6.379216,16.389526,72.0,16.363636
20220110T1200,4.150245,0.0,84.20221,7.8954163,24.227737,62.0,22.424244
20220110T1300,4.5902452,0.0,82.87953,9.085988,33.690063,53.0,27.878788
20220110T1400,4.8302455,0.0,80.969826,9.290511,35.53766,30.0,41.81818
20220110T1500,4.4402456,0.0,82.26345,7.10031,30.465546,32.0,40.606064
20220110T1600,3.1802454,0.0,87.17457,6.130579,3.3664398,41.0,35.151512
20220110T1700,2.0502453,0.0,90.86629,7.928178,357.39746,24.0,0.42929295
20220110T1800,1.3602455,0.0,91.53658,7.69592,10.7842865,20.0,0.0
20220110T1900,0.9102454,0.0,91.22982,8.39657,30.963745,13.0,0.0
20220110T2000,0.2502454,0.0,91.372574,7.8954163,43.15239,23.0,0.0
20220110T2100,-0.04975462,0.0,91.54854,6.618519,44.999985,39.0,0.0
20220110T2200,-0.3097546,0.0,92.0692,7.127636,44.999985,47.0,0.0
20220110T2300,-0.51975465,0.0,90.76286,7.145796,40.914368,46.0,0.0
20220111T0000,-0.1297546,0.0,90.06312,6.792466,32.005356,8.0,0.0
20220111T0100,-0.3197546,0.0,90.44586,5.8048253,29.744873,39.0,0.0
20220111T0200,-0.39975458,0.0,91.0439,6.9153743,38.659805,35.0,0.0
20220111T0300,-0.2697546,0.0,91.46137,7.127636,44.999985,14.0,0.0
20220111T0400,-0.5797546,0.0,91.56948,6.638072,40.601288,21.0,0.0
